word,concreteness,predicted,fold,k,weighting,embedding
غروب,4.444444444,3.4950663838633207,1,20,distance,ar_gpt2_sent.vec
معلومة,2.111111111,2.5117695754428264,1,20,distance,ar_gpt2_sent.vec
بلوغ,3.055555556,2.4348026290176197,1,20,distance,ar_gpt2_sent.vec
طبيبة,4.444444444,3.763186379242393,1,20,distance,ar_gpt2_sent.vec
عاملة,4.277777778,3.766627195417437,1,20,distance,ar_gpt2_sent.vec
قفاز,4.611111111,4.697771299331561,1,20,distance,ar_gpt2_sent.vec
جبل,4.777777778,3.71355958579444,1,20,distance,ar_gpt2_sent.vec
حج,3.176470588,3.47508635281183,1,20,distance,ar_gpt2_sent.vec
شماعة,4.571428571,4.251958699898881,1,20,distance,ar_gpt2_sent.vec
إعجاب,2.055555556,2.262252509419761,1,20,distance,ar_gpt2_sent.vec
شيطان,2.555555556,3.78707371667324,1,20,distance,ar_gpt2_sent.vec
دولة,3.277777778,3.483391395726936,1,20,distance,ar_gpt2_sent.vec
شرطية,4.444444444,3.4274134231305755,1,20,distance,ar_gpt2_sent.vec
بلدة,3.555555556,3.7237216734267764,1,20,distance,ar_gpt2_sent.vec
تسامح,1.555555556,1.9112547169042375,1,20,distance,ar_gpt2_sent.vec
عري,3.333333333,3.385080981353487,1,20,distance,ar_gpt2_sent.vec
شِعر,3.555555556,3.2944444444,1,20,distance,ar_gpt2_sent.vec
سجن,4.333333333,3.28127968404471,1,20,distance,ar_gpt2_sent.vec
جماع,3.882352941,3.5393306097682244,1,20,distance,ar_gpt2_sent.vec
مبنى,4.777777778,3.95819707128896,1,20,distance,ar_gpt2_sent.vec
معلمة,4.5,3.956575409682114,1,20,distance,ar_gpt2_sent.vec
تقاليد,1.722222222,1.8444234317449881,1,20,distance,ar_gpt2_sent.vec
إلحاد,1.388888889,2.2220239806734625,1,20,distance,ar_gpt2_sent.vec
موظف,4.444444444,4.2038388759139735,1,20,distance,ar_gpt2_sent.vec
صحراء,4.555555556,3.5084724455943586,1,20,distance,ar_gpt2_sent.vec
احتفال,3.0,3.2302819391531834,1,20,distance,ar_gpt2_sent.vec
فندق,4.555555556,4.387303691061373,1,20,distance,ar_gpt2_sent.vec
مثالية,1.388888889,2.2257903703813278,1,20,distance,ar_gpt2_sent.vec
مؤامرة,1.722222222,3.3177733348354748,1,20,distance,ar_gpt2_sent.vec
رقابة,2.111111111,2.7235504194995364,1,20,distance,ar_gpt2_sent.vec
قداسة,1.411764706,2.256193232299998,1,20,distance,ar_gpt2_sent.vec
حمار,4.944444444,4.338316446667402,1,20,distance,ar_gpt2_sent.vec
حذاء,4.833333333,4.5888223352842745,1,20,distance,ar_gpt2_sent.vec
جمال,2.055555556,3.124416935941471,1,20,distance,ar_gpt2_sent.vec
امرأة,4.666666667,4.395013165213039,1,20,distance,ar_gpt2_sent.vec
موز,4.888888889,4.477711179071917,1,20,distance,ar_gpt2_sent.vec
طفل,4.555555556,4.1933690972248305,1,20,distance,ar_gpt2_sent.vec
سيارة,4.888888889,4.436586255603878,1,20,distance,ar_gpt2_sent.vec
مال,4.833333333,3.256496976456379,1,20,distance,ar_gpt2_sent.vec
جارة,4.0,3.9405935963869094,1,20,distance,ar_gpt2_sent.vec
مدرسة,4.5,4.087946587267973,1,20,distance,ar_gpt2_sent.vec
نقاء,2.125,2.1906991378666625,2,20,distance,ar_gpt2_sent.vec
تاكسي,4.764705882,4.484055485410157,2,20,distance,ar_gpt2_sent.vec
مسؤولية,1.666666667,2.717686729096484,2,20,distance,ar_gpt2_sent.vec
إعلام,2.444444444,2.948914840404614,2,20,distance,ar_gpt2_sent.vec
كرم,1.777777778,2.508570031799751,2,20,distance,ar_gpt2_sent.vec
تبني,2.388888889,3.233720358587841,2,20,distance,ar_gpt2_sent.vec
قدر,1.277777778,3.462557848578225,2,20,distance,ar_gpt2_sent.vec
اعتقاد,1.277777778,2.3477820105522618,2,20,distance,ar_gpt2_sent.vec
حكمة,1.611111111,2.149185586328707,2,20,distance,ar_gpt2_sent.vec
الله,2.666666667,3.1716912601919365,2,20,distance,ar_gpt2_sent.vec
يوم,2.388888889,3.741110868670719,2,20,distance,ar_gpt2_sent.vec
عائلة,3.833333333,3.985678325814737,2,20,distance,ar_gpt2_sent.vec
إصبع,4.777777778,4.3480307337520685,2,20,distance,ar_gpt2_sent.vec
مفهوم,1.555555556,2.644481905144959,2,20,distance,ar_gpt2_sent.vec
غابة,4.5,3.871053508234465,2,20,distance,ar_gpt2_sent.vec
نجاسة,2.588235294,3.2307148641167975,2,20,distance,ar_gpt2_sent.vec
أغنية,4.277777778,4.053592769108047,2,20,distance,ar_gpt2_sent.vec
شجاعة,1.666666667,2.1926203477247976,2,20,distance,ar_gpt2_sent.vec
